;Scopy version,f4beeb1
;Exported on,vendredi octobre 10/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH2(V)
5350,-2.65,0.25023
5351,-2.649,0.25023
5352,-2.648,0.25023
5353,-2.647,0.25023
5354,-2.646,0.25023
5355,-2.645,0.25023
5356,-2.644,0.25023
5357,-2.643,0.25023
5358,-2.642,0.25023
5359,-2.641,0.25023
5360,-2.64,0.25023
5361,-2.639,0.25023
5362,-2.638,0.25023
5363,-2.637,0.25023
5364,-2.636,0.25023
5365,-2.635,0.25023
5366,-2.634,0.25023
5367,-2.633,0.25023
5368,-2.632,0.25023
5369,-2.631,0.25023
5370,-2.63,0.25023
5371,-2.629,0.25023
5372,-2.628,0.25023
5373,-2.627,0.25023
5374,-2.626,0.25023
5375,-2.625,0.25023
5376,-2.624,0.25023
5377,-2.623,0.25023
5378,-2.622,0.25023
5379,-2.621,0.25023
5380,-2.62,0.25023
5381,-2.619,0.25023
5382,-2.618,0.25023
5383,-2.617,0.25023
5384,-2.616,0.25023
5385,-2.615,0.25023
5386,-2.614,0.25023
5387,-2.613,0.25023
5388,-2.612,0.25023
5389,-2.611,0.25023
5390,-2.61,0.25023
5391,-2.609,0.25023
5392,-2.608,0.25023
5393,-2.607,0.25023
5394,-2.606,0.25023
5395,-2.605,0.25023
5396,-2.604,0.25023
5397,-2.603,0.25023
5398,-2.602,0.25023
5399,-2.601,0.25023
5400,-2.6,0.25023
5401,-2.599,0.25023
5402,-2.598,0.25023
5403,-2.597,0.25023
5404,-2.596,0.25023
5405,-2.595,0.25023
5406,-2.594,0.25023
5407,-2.593,0.25023
5408,-2.592,0.25023
5409,-2.591,0.25023
5410,-2.59,0.25023
5411,-2.589,0.25023
5412,-2.588,0.25023
5413,-2.587,0.25023
5414,-2.586,0.25023
5415,-2.585,0.25023
5416,-2.584,0.25023
5417,-2.583,0.25023
5418,-2.582,0.25023
5419,-2.581,0.25023
5420,-2.58,0.25023
5421,-2.579,0.25023
5422,-2.578,0.25023
5423,-2.577,0.25023
5424,-2.576,0.25023
