;Scopy version,f4beeb1
;Exported on,lundi octobre 13/10/2025
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
284,-1.719,0.125841,-0.00538096
285,-1.718,0.125841,-0.00364211
286,-1.717,0.125841,-0.00364211
287,-1.716,0.125841,-0.00364211
288,-1.715,0.125841,-0.00364211
289,-1.714,0.125841,-0.00364211
290,-1.713,0.125841,-0.00364211
291,-1.712,0.125841,-0.00364211
292,-1.711,0.125841,-0.00364211
293,-1.71,0.125841,-0.00364211
294,-1.709,0.125841,-0.00364211
295,-1.708,0.125841,-0.00364211
296,-1.707,0.125841,-0.00364211
297,-1.706,0.125841,-0.00538096
298,-1.705,0.125841,-0.00538096
299,-1.704,0.125841,-0.00538096
300,-1.703,0.125841,-0.00538096
301,-1.702,0.125841,-0.00538096
302,-1.701,0.125841,-0.00538096
303,-1.7,0.125841,-0.00538096
304,-1.699,0.125841,-0.00538096
305,-1.698,0.125841,-0.00538096
306,-1.697,0.125841,-0.00364211
307,-1.696,0.125841,-0.00364211
308,-1.695,0.125841,-0.00364211
309,-1.694,0.125841,-0.00364211
310,-1.693,0.125841,-0.00364211
311,-1.692,0.125841,-0.00364211
312,-1.691,0.125841,-0.00364211
313,-1.69,0.125841,-0.00364211
314,-1.689,0.125841,-0.00364211
315,-1.688,0.125841,-0.00364211
316,-1.687,0.125841,-0.00364211
317,-1.686,0.125841,-0.00538096
318,-1.685,0.125841,-0.00538096
319,-1.684,0.125841,-0.00538096
320,-1.683,0.125841,-0.00538096
321,-1.682,0.125841,-0.00538096
322,-1.681,0.125841,-0.00538096
323,-1.68,0.125841,-0.00538096
324,-1.679,0.125841,-0.00364211
325,-1.678,0.125841,-0.00364211
326,-1.677,0.125841,-0.00364211
327,-1.676,0.125841,-0.00364211
328,-1.675,0.125841,-0.00364211
329,-1.674,0.125841,-0.00364211
330,-1.673,0.125841,-0.00364211
331,-1.672,0.125841,-0.00364211
332,-1.671,0.125841,-0.00364211
333,-1.67,0.125841,-0.00364211
334,-1.669,0.125841,-0.00364211
335,-1.668,0.125841,-0.00364211
336,-1.667,0.125841,-0.00364211
337,-1.666,0.125841,-0.00538096
338,-1.665,0.125841,-0.00538096
339,-1.664,0.125841,-0.00538096
340,-1.663,0.125841,-0.00538096
341,-1.662,0.125841,-0.00538096
342,-1.661,0.125841,-0.00538096
343,-1.66,0.125841,-0.00538096
344,-1.659,0.125841,-0.00538096
345,-1.658,0.125841,-0.00538096
346,-1.657,0.125841,-0.00364211
347,-1.656,0.125841,-0.00364211
348,-1.655,0.125841,-0.00364211
349,-1.654,0.125841,-0.00364211
350,-1.653,0.125841,-0.00364211
351,-1.652,0.125841,-0.00364211
352,-1.651,0.125841,-0.00364211
353,-1.65,0.125841,-0.00364211
354,-1.649,0.125841,-0.00364211
355,-1.648,0.125841,-0.00364211
356,-1.647,0.125841,-0.00538096
357,-1.646,0.125841,-0.00538096
358,-1.645,0.125841,-0.00538096
359,-1.644,0.125841,-0.00538096
360,-1.643,0.125841,-0.00538096
361,-1.642,0.125841,-0.00538096
362,-1.641,0.125841,-0.00538096
363,-1.64,0.125841,-0.00538096
364,-1.639,0.125841,-0.00538096
365,-1.638,0.125841,-0.00364211
366,-1.637,0.125841,-0.00190326
367,-1.636,0.125841,-0.00364211
368,-1.635,0.125841,-0.00364211
369,-1.634,0.125841,-0.00364211
370,-1.633,0.125841,-0.00364211
371,-1.632,0.125841,-0.00364211
372,-1.631,0.125841,-0.00364211
373,-1.63,0.125841,-0.00364211
374,-1.629,0.125841,-0.00364211
375,-1.628,0.125841,-0.00364211
376,-1.627,0.125841,-0.00538096
377,-1.626,0.125841,-0.00538096
378,-1.625,0.125841,-0.00538096
379,-1.624,0.125841,-0.00538096
380,-1.623,0.125841,-0.00538096
381,-1.622,0.125841,-0.00538096
382,-1.621,0.125841,-0.00538096
383,-1.62,0.125841,-0.00538096
384,-1.619,0.125841,-0.00538096
385,-1.618,0.125841,-0.00364211
386,-1.617,0.125841,-0.00364211
387,-1.616,0.125841,-0.00364211
388,-1.615,0.125841,-0.00364211
389,-1.614,0.125841,-0.00364211
390,-1.613,0.125841,-0.00364211
391,-1.612,0.125841,-0.00364211
392,-1.611,0.125841,-0.00364211
393,-1.61,0.125841,-0.00364211
394,-1.609,0.125841,-0.00364211
395,-1.608,0.125841,-0.00364211
396,-1.607,0.125841,-0.00538096
397,-1.606,0.125841,-0.00538096
398,-1.605,0.125841,-0.00538096
399,-1.604,0.125841,-0.00538096
400,-1.603,0.125841,-0.00538096
401,-1.602,0.125841,-0.00538096
402,-1.601,0.125841,-0.00538096
403,-1.6,0.125841,-0.00538096
404,-1.599,0.125841,-0.00538096
405,-1.598,0.125841,-0.00538096
406,-1.597,0.125841,-0.00364211
407,-1.596,0.125841,-0.00364211
408,-1.595,0.125841,-0.00364211
409,-1.594,0.125841,-0.00364211
410,-1.593,0.125841,-0.00364211
411,-1.592,0.125841,-0.00364211
412,-1.591,0.125841,-0.00364211
413,-1.59,0.125841,-0.00364211
414,-1.589,0.125841,-0.00364211
415,-1.588,0.125841,-0.00364211
416,-1.587,0.125841,-0.00364211
417,-1.586,0.125841,-0.00538096
418,-1.585,0.125841,-0.00538096
419,-1.584,0.125841,-0.00538096
420,-1.583,0.125841,-0.00538096
421,-1.582,0.125841,-0.00538096
422,-1.581,0.125841,-0.00538096
423,-1.58,0.125841,-0.00538096
424,-1.579,0.125841,-0.00538096
425,-1.578,0.125841,-0.00538096
426,-1.577,0.125841,-0.00364211
427,-1.576,0.125841,-0.00364211
428,-1.575,0.125841,-0.00364211
429,-1.574,0.125841,-0.00364211
430,-1.573,0.125841,-0.00364211
431,-1.572,0.125841,-0.00364211
432,-1.571,0.125841,-0.00364211
433,-1.57,0.125841,-0.00364211
434,-1.569,0.125841,-0.00364211
435,-1.568,0.125841,-0.00364211
436,-1.567,0.125841,-0.00364211
437,-1.566,0.125841,-0.00538096
438,-1.565,0.125841,-0.00538096
