;Scopy version,f4beeb1
;Exported on,mardirier 24/02/2026
;Device,M2K
;Nr of samples,8000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
432,-3.848,0.14423
433,-3.847,0.14423
434,-3.846,0.14423
435,-3.845,0.14423
436,-3.844,0.14423
437,-3.843,0.14423
438,-3.842,0.14423
439,-3.841,0.14423
440,-3.84,0.14423
441,-3.839,0.14423
442,-3.838,0.14423
443,-3.837,0.14423
444,-3.836,0.14423
445,-3.835,0.14423
446,-3.834,0.14423
447,-3.833,0.145969
448,-3.832,0.166835
449,-3.831,0.278121
450,-3.83,0.300727
451,-3.829,0.283338
452,-3.828,0.18944
453,-3.827,0.151185
454,-3.826,0.147708
455,-3.825,0.14423
456,-3.824,0.14423
457,-3.823,0.14423
458,-3.822,0.14423
459,-3.821,0.14423
460,-3.82,0.14423
461,-3.819,0.14423
462,-3.818,0.14423
463,-3.817,0.14423
464,-3.816,0.14423
465,-3.815,0.14423
466,-3.814,0.14423
467,-3.813,0.14423
468,-3.812,0.14423
469,-3.811,0.14423
470,-3.81,0.14423
471,-3.809,0.14423
472,-3.808,0.14423
473,-3.807,0.14423
474,-3.806,0.14423
475,-3.805,0.14423
476,-3.804,0.14423
477,-3.803,0.14423
478,-3.802,0.14423
479,-3.801,0.14423
480,-3.8,0.14423
481,-3.799,0.14423
482,-3.798,0.14423
483,-3.797,0.14423
484,-3.796,0.14423
485,-3.795,0.14423
486,-3.794,0.14423
487,-3.793,0.14423
488,-3.792,0.14423
489,-3.791,0.14423
490,-3.79,0.14423
491,-3.789,0.14423
492,-3.788,0.14423
493,-3.787,0.14423
494,-3.786,0.14423
495,-3.785,0.14423
496,-3.784,0.14423
497,-3.783,0.14423
498,-3.782,0.14423
499,-3.781,0.14423
500,-3.78,0.14423
501,-3.779,0.14423
502,-3.778,0.14423
503,-3.777,0.14423
504,-3.776,0.14423
505,-3.775,0.14423
506,-3.774,0.14423
507,-3.773,0.14423
508,-3.772,0.14423
509,-3.771,0.14423
510,-3.77,0.14423
511,-3.769,0.14423
512,-3.768,0.14423
513,-3.767,0.14423
514,-3.766,0.14423
515,-3.765,0.14423
516,-3.764,0.14423
517,-3.763,0.14423
518,-3.762,0.14423
519,-3.761,0.14423
