;Scopy version,f4beeb1
;Exported on,mardi fvrier 24/02/2026
;Device,M2K
;Nr of samples,3200
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
804,-0.796,0.210993
805,-0.795,0.210993
806,-0.794,0.210993
807,-0.793,0.210993
808,-0.792,0.210993
809,-0.791,0.210993
810,-0.79,0.210993
811,-0.789,0.210993
812,-0.788,0.210993
813,-0.787,0.210993
814,-0.786,0.210993
815,-0.785,0.210993
816,-0.784,0.210993
817,-0.783,0.210993
818,-0.782,0.210993
819,-0.781,0.210993
820,-0.78,0.210993
821,-0.779,0.210993
822,-0.778,0.210993
823,-0.777,0.210993
824,-0.776,0.210993
825,-0.775,0.210993
826,-0.774,0.210993
827,-0.773,0.210993
828,-0.772,0.210993
829,-0.771,0.210993
830,-0.77,0.210993
831,-0.769,0.210993
832,-0.768,0.210993
833,-0.767,0.210993
834,-0.766,0.210993
835,-0.765,0.210993
836,-0.764,0.210993
837,-0.763,0.210993
838,-0.762,0.210993
839,-0.761,0.210993
840,-0.76,0.210993
841,-0.759,0.210993
842,-0.758,0.210993
843,-0.757,0.210993
844,-0.756,0.210993
845,-0.755,0.210993
846,-0.754,0.210993
847,-0.753,0.210993
848,-0.752,0.210993
849,-0.751,0.214471
850,-0.75,0.209255
851,-0.749,0.377923
852,-0.748,0.42835
853,-0.747,0.308369
854,-0.746,0.219688
855,-0.745,0.212732
856,-0.744,0.210993
857,-0.743,0.210993
858,-0.742,0.210993
859,-0.741,0.210993
860,-0.74,0.210993
861,-0.739,0.210993
862,-0.738,0.210993
863,-0.737,0.210993
864,-0.736,0.210993
865,-0.735,0.210993
866,-0.734,0.210993
867,-0.733,0.210993
868,-0.732,0.210993
869,-0.731,0.210993
870,-0.73,0.210993
871,-0.729,0.210993
872,-0.728,0.210993
873,-0.727,0.210993
874,-0.726,0.210993
875,-0.725,0.210993
876,-0.724,0.210993
877,-0.723,0.210993
878,-0.722,0.210993
879,-0.721,0.210993
880,-0.72,0.210993
881,-0.719,0.210993
882,-0.718,0.210993
883,-0.717,0.210993
884,-0.716,0.210993
885,-0.715,0.210993
886,-0.714,0.210993
887,-0.713,0.210993
888,-0.712,0.210993
889,-0.711,0.210993
890,-0.71,0.210993
891,-0.709,0.210993
892,-0.708,0.210993
893,-0.707,0.210993
894,-0.706,0.210993
895,-0.705,0.210993
896,-0.704,0.210993
897,-0.703,0.210993
898,-0.702,0.210993
899,-0.701,0.214471
900,-0.7,0.207516
901,-0.699,0.377923
902,-0.698,0.430089
903,-0.697,0.308369
904,-0.696,0.221427
905,-0.695,0.212732
906,-0.694,0.210993
907,-0.693,0.210993
908,-0.692,0.210993
909,-0.691,0.210993
910,-0.69,0.210993
911,-0.689,0.210993
912,-0.688,0.210993
913,-0.687,0.210993
914,-0.686,0.210993
915,-0.685,0.210993
916,-0.684,0.210993
917,-0.683,0.210993
918,-0.682,0.210993
919,-0.681,0.210993
920,-0.68,0.210993
921,-0.679,0.210993
922,-0.678,0.210993
923,-0.677,0.210993
924,-0.676,0.210993
925,-0.675,0.210993
926,-0.674,0.210993
927,-0.673,0.210993
928,-0.672,0.210993
929,-0.671,0.210993
930,-0.67,0.210993
931,-0.669,0.210993
932,-0.668,0.210993
933,-0.667,0.210993
934,-0.666,0.210993
935,-0.665,0.210993
936,-0.664,0.210993
937,-0.663,0.210993
938,-0.662,0.210993
939,-0.661,0.210993
940,-0.66,0.210993
941,-0.659,0.210993
942,-0.658,0.210993
943,-0.657,0.210993
944,-0.656,0.210993
945,-0.655,0.210993
946,-0.654,0.210993
947,-0.653,0.210993
948,-0.652,0.210993
949,-0.651,0.214471
950,-0.65,0.207516
951,-0.649,0.377923
952,-0.648,0.430089
953,-0.647,0.308369
954,-0.646,0.221427
955,-0.645,0.214471
956,-0.644,0.210993
957,-0.643,0.210993
958,-0.642,0.210993
959,-0.641,0.210993
960,-0.64,0.210993
961,-0.639,0.210993
962,-0.638,0.210993
963,-0.637,0.210993
964,-0.636,0.210993
965,-0.635,0.210993
966,-0.634,0.210993
967,-0.633,0.210993
968,-0.632,0.210993
969,-0.631,0.210993
970,-0.63,0.210993
971,-0.629,0.210993
972,-0.628,0.210993
973,-0.627,0.210993
974,-0.626,0.210993
975,-0.625,0.210993
976,-0.624,0.210993
977,-0.623,0.210993
978,-0.622,0.210993
979,-0.621,0.210993
980,-0.62,0.210993
981,-0.619,0.210993
982,-0.618,0.210993
983,-0.617,0.210993
984,-0.616,0.210993
985,-0.615,0.210993
986,-0.614,0.210993
987,-0.613,0.210993
988,-0.612,0.210993
989,-0.611,0.210993
990,-0.61,0.210993
991,-0.609,0.210993
992,-0.608,0.210993
993,-0.607,0.210993
994,-0.606,0.210993
995,-0.605,0.210993
996,-0.604,0.210993
997,-0.603,0.210993
998,-0.602,0.210993
999,-0.601,0.214471
1000,-0.6,0.209255
1001,-0.599,0.377923
1002,-0.598,0.430089
1003,-0.597,0.308369
1004,-0.596,0.221427
1005,-0.595,0.212732
1006,-0.594,0.210993
1007,-0.593,0.210993
1008,-0.592,0.210993
1009,-0.591,0.210993
1010,-0.59,0.210993
1011,-0.589,0.210993
1012,-0.588,0.210993
1013,-0.587,0.210993
1014,-0.586,0.210993
1015,-0.585,0.210993
1016,-0.584,0.210993
1017,-0.583,0.210993
1018,-0.582,0.210993
1019,-0.581,0.210993
1020,-0.58,0.210993
1021,-0.579,0.210993
1022,-0.578,0.210993
1023,-0.577,0.210993
1024,-0.576,0.210993
1025,-0.575,0.210993
1026,-0.574,0.210993
1027,-0.573,0.210993
1028,-0.572,0.210993
1029,-0.571,0.210993
1030,-0.57,0.210993
1031,-0.569,0.210993
1032,-0.568,0.210993
1033,-0.567,0.210993
1034,-0.566,0.210993
1035,-0.565,0.210993
1036,-0.564,0.210993
1037,-0.563,0.210993
1038,-0.562,0.210993
1039,-0.561,0.210993
1040,-0.56,0.210993
1041,-0.559,0.210993
1042,-0.558,0.210993
1043,-0.557,0.210993
1044,-0.556,0.210993
1045,-0.555,0.210993
1046,-0.554,0.210993
1047,-0.553,0.210993
1048,-0.552,0.210993
1049,-0.551,0.214471
1050,-0.55,0.209255
1051,-0.549,0.379662
1052,-0.548,0.430089
1053,-0.547,0.30663
1054,-0.546,0.219688
1055,-0.545,0.212732
1056,-0.544,0.212732
1057,-0.543,0.210993
1058,-0.542,0.210993
1059,-0.541,0.210993
1060,-0.54,0.210993
1061,-0.539,0.210993
1062,-0.538,0.210993
1063,-0.537,0.210993
1064,-0.536,0.210993
1065,-0.535,0.210993
1066,-0.534,0.210993
1067,-0.533,0.210993
1068,-0.532,0.210993
1069,-0.531,0.210993
1070,-0.53,0.210993
1071,-0.529,0.210993
1072,-0.528,0.210993
1073,-0.527,0.210993
1074,-0.526,0.210993
1075,-0.525,0.210993
1076,-0.524,0.210993
1077,-0.523,0.210993
1078,-0.522,0.210993
1079,-0.521,0.210993
1080,-0.52,0.210993
1081,-0.519,0.210993
1082,-0.518,0.210993
1083,-0.517,0.210993
1084,-0.516,0.210993
1085,-0.515,0.210993
1086,-0.514,0.210993
1087,-0.513,0.210993
1088,-0.512,0.210993
1089,-0.511,0.210993
1090,-0.51,0.210993
1091,-0.509,0.210993
1092,-0.508,0.210993
1093,-0.507,0.210993
1094,-0.506,0.210993
1095,-0.505,0.210993
1096,-0.504,0.210993
1097,-0.503,0.210993
1098,-0.502,0.210993
1099,-0.501,0.212732
1100,-0.5,0.210993
1101,-0.499,0.381401
1102,-0.498,0.430089
1103,-0.497,0.30663
1104,-0.496,0.219688
1105,-0.495,0.212732
1106,-0.494,0.210993
1107,-0.493,0.210993
1108,-0.492,0.210993
1109,-0.491,0.210993
1110,-0.49,0.210993
1111,-0.489,0.210993
1112,-0.488,0.210993
1113,-0.487,0.210993
1114,-0.486,0.210993
1115,-0.485,0.210993
1116,-0.484,0.210993
1117,-0.483,0.210993
1118,-0.482,0.210993
1119,-0.481,0.210993
1120,-0.48,0.210993
1121,-0.479,0.210993
1122,-0.478,0.210993
1123,-0.477,0.210993
1124,-0.476,0.210993
1125,-0.475,0.210993
1126,-0.474,0.210993
1127,-0.473,0.210993
1128,-0.472,0.210993
1129,-0.471,0.210993
